score;sim_to_best_vertices;sim_to_best_edges;avg_sim_others_vertices;avg_sim_others_edges
17494.000000;146;95;143.493493;92.707708
16900.000000;152;110;147.556557;96.208208
17331.000000;153;107;149.613614;94.806807
17039.000000;153;106;151.874875;100.150150
15765.000000;154;105;151.258258;93.111111
16496.000000;144;101;139.346346;87.134134
17680.000000;156;106;149.901902;95.047047
17622.000000;151;97;148.743744;94.716717
17257.000000;161;105;157.229229;101.872873
17922.000000;152;108;146.624625;96.754755
17753.000000;153;108;151.213213;98.179179
16996.000000;153;107;148.515516;95.640641
16552.000000;154;99;151.625626;96.166166
16715.000000;154;113;151.356356;99.357357
18072.000000;154;108;149.629630;97.269269
18265.000000;147;108;141.620621;94.164164
18060.000000;149;107;145.145145;94.945946
16546.000000;157;103;155.270270;98.042042
18415.000000;157;128;150.481481;102.275275
17352.000000;154;107;147.876877;95.445445
16191.000000;158;101;154.307307;96.966967
16324.000000;154;102;151.037037;93.282282
19104.000000;153;123;146.256256;101.219219
16593.000000;152;102;149.588589;97.112112
17345.000000;153;107;150.240240;94.667668
17972.000000;161;116;155.241241;99.250250
16580.000000;157;110;154.169169;98.185185
14674.000000;125;78;120.849850;68.583584
16457.000000;155;107;152.039039;94.202202
19246.000000;151;111;145.985986;100.155155
17306.000000;156;108;153.938939;98.485485
17815.000000;155;108;151.048048;100.854855
16451.000000;155;107;152.548549;95.857858
18088.000000;151;124;145.750751;98.009009
14796.000000;106;66;104.032032;63.890891
17189.000000;151;102;145.690691;90.905906
17718.000000;154;111;147.560561;99.505506
16613.000000;151;98;147.251251;94.041041
16990.000000;145;98;140.505506;85.459459
11747.000000;93;64;90.403403;56.151151
18053.000000;153;101;148.362362;97.867868
17485.000000;158;113;153.828829;98.907908
17307.000000;147;96;142.819820;88.655656
17619.000000;152;111;149.237237;98.029029
16712.000000;154;99;150.713714;94.542543
17364.000000;150;101;147.288288;96.972973
18128.000000;150;110;146.373373;98.778779
18168.000000;156;109;150.424424;101.008008
17898.000000;148;106;143.352352;92.910911
16250.000000;154;108;149.623624;94.334334
17816.000000;153;114;149.905906;99.079079
18108.000000;153;121;148.558559;99.638639
16050.000000;157;104;155.575576;97.621622
17108.000000;146;99;143.679680;90.763764
16421.000000;156;110;151.606607;95.916917
17356.000000;155;115;151.162162;101.129129
11147.000000;74;51;73.348348;46.754755
17752.000000;148;105;144.105105;95.558559
16528.000000;159;108;154.127127;96.698699
17724.000000;155;108;153.513514;101.214214
15889.000000;156;94;153.246246;94.807808
12188.000000;109;79;105.709710;68.455455
18235.000000;152;106;148.803804;98.778779
17830.000000;155;104;152.424424;101.808809
16898.000000;154;105;151.708709;98.140140
16442.000000;142;95;141.455455;94.513514
16787.000000;158;106;153.594595;96.888889
17456.000000;148;98;146.310310;94.748749
18413.000000;151;105;148.425425;100.923924
16085.000000;157;106;155.160160;95.747748
17537.000000;157;114;154.222222;97.966967
16549.000000;145;98;141.679680;88.493493
17127.000000;153;109;147.003003;94.623624
17116.000000;155;108;152.305305;97.548549
17415.000000;155;110;151.885886;99.734735
16248.000000;151;101;148.243243;92.454454
17865.000000;154;109;151.296296;99.076076
16906.000000;155;104;150.027027;95.563564
15864.000000;156;98;152.458458;91.268268
17457.000000;143;95;142.406406;90.962963
16859.000000;147;100;144.709710;91.218218
17198.000000;160;128;154.458458;100.908909
17030.000000;148;103;143.501502;91.823824
18229.000000;151;115;148.242242;99.697698
18535.000000;157;116;150.140140;100.019019
15905.000000;152;103;147.472472;91.431431
15324.000000;154;99;150.109109;87.402402
