score;sim_to_best_vertices;sim_to_best_edges;avg_sim_others_vertices;avg_sim_others_edges
5288.000000;150;111;138.867868;88.704705
5906.000000;136;96;132.414414;87.297297
6128.000000;143;106;135.842843;90.617618
6324.000000;146;101;139.573574;93.900901
5010.000000;146;99;141.086086;87.702703
4857.000000;147;96;141.674675;89.294294
4969.000000;144;102;140.189189;90.555556
5370.000000;144;94;138.933934;91.087087
5732.000000;100;66;97.070070;60.743744
5448.000000;143;94;136.715716;86.541542
5388.000000;149;101;143.014014;95.132132
6170.000000;139;91;132.960961;85.125125
4779.000000;141;91;135.775776;84.915916
5314.000000;136;90;133.328328;84.073073
2362.000000;32;23;30.605606;20.699700
5331.000000;142;106;137.631632;91.570571
5680.000000;145;109;136.617618;88.222222
5683.000000;144;105;136.817818;89.049049
5757.000000;133;91;130.095095;84.742743
5705.000000;139;104;132.341341;85.864865
6993.000000;135;98;130.316316;86.712713
5251.000000;138;89;134.202202;84.444444
3577.000000;94;70;91.720721;57.585586
6030.000000;144;99;136.447447;90.044044
5899.000000;147;105;135.510511;89.318318
5437.000000;146;105;136.517518;86.710711
5141.000000;138;89;134.779780;84.585586
4437.000000;141;95;137.419419;86.522523
7007.000000;136;105;128.151151;87.503504
5464.000000;130;93;129.006006;84.406406
6485.000000;136;99;132.287287;90.524525
6151.000000;131;92;128.694695;83.903904
5958.000000;148;105;141.780781;96.334334
7162.000000;130;97;124.561562;86.444444
6712.000000;144;108;134.382382;90.981982
6594.000000;135;97;131.802803;87.938939
4922.000000;147;96;139.775776;91.703704
5971.000000;142;95;136.161161;88.890891
5542.000000;147;100;139.704705;91.994995
3333.000000;59;39;60.249249;36.435435
6511.000000;147;105;140.007007;90.696697
5426.000000;144;92;138.794795;90.123123
5818.000000;147;107;139.720721;90.794795
4357.000000;148;103;143.788789;93.474474
5006.000000;139;96;135.559560;88.729730
5748.000000;145;92;137.563564;86.275275
5411.000000;144;101;134.257257;86.123123
4996.000000;139;94;132.327327;83.473473
6121.000000;141;96;134.830831;86.469469
6807.000000;144;98;135.468468;89.971972
5548.000000;128;96;123.288288;82.968969
6484.000000;137;89;132.738739;86.498498
5387.000000;146;99;141.656657;91.475475
6538.000000;136;96;134.154154;89.267267
4326.000000;140;94;136.107107;88.254254
4001.000000;135;93;131.572573;84.395395
6249.000000;147;102;137.410410;87.110110
5387.000000;128;81;125.302302;80.234234
6683.000000;126;92;117.610611;79.178178
5680.000000;140;103;132.250250;85.305305
6440.000000;138;101;131.715716;87.546547
6023.000000;140;100;132.522523;84.869870
5340.000000;118;81;114.515516;74.055055
5517.000000;104;79;98.420420;64.777778
5623.000000;136;97;129.678679;83.437437
5286.000000;143;96;136.781782;89.009009
6212.000000;145;102;137.500501;89.378378
6364.000000;127;93;121.391391;78.965966
5407.000000;147;101;140.051051;91.149149
5983.000000;120;87;119.002002;78.557558
5165.000000;139;99;131.779780;83.332332
5040.000000;102;66;101.715716;63.040040
4731.000000;146;97;139.468468;87.495495
6543.000000;148;109;138.533534;93.080080
5871.000000;143;97;138.637638;91.209209
5071.000000;146;100;141.336336;92.916917
5451.000000;142;95;138.007007;88.730731
4440.000000;107;86;100.964965;68.298298
5480.000000;145;96;137.108108;89.128128
5054.000000;145;97;138.603604;88.491491
5816.000000;128;88;125.069069;81.626627
5605.000000;143;101;137.161161;90.855856
5104.000000;146;97;140.895896;88.864865
5759.000000;142;93;135.814815;88.831832
5786.000000;142;100;138.581582;91.155155
5108.000000;142;90;136.461461;89.497497
6062.000000;147;101;138.187187;88.922923
5659.000000;146;99;141.182182;94.821822
5899.000000;144;104;138.464464;95.275275
6124.000000;144;96;140.092092;93.284284
6396.000000;143;103;135.669670;90.599600
6947.000000;129;95;125.506507;83.688689
6766.000000;143;106;136.802803;93.623624
5220.000000;136;92;135.342342;87.194194
5140.000000;146;106;140.560561;91.987988
7105.000000;140;105;132.882883;89.900901
5975.000000;149;108;141.900901;95.870871
6075.000000;109;82;101.325325;69.088088
5232.000000;146;103;138.195195;88.689690
3821.000000;139;88;134.016016;83.486486
5429.000000;146;95;138.958959;90.109109
5008.000000;89;59;87.910911;54.780781
6014.000000;142;99;137.444444;91.572573
5602.000000;128;84;125.503504;79.299299
4756.000000;134;86;130.443443;84.173173
5146.000000;146;100;141.794795;91.594595
5759.000000;143;104;136.060060;89.806807
5625.000000;146;102;140.101101;91.011011
5025.000000;108;79;104.707708;69.299299
4694.000000;134;80;132.868869;83.126126
5511.000000;148;100;143.237237;93.853854
5636.000000;142;104;136.035035;88.191191
1829.000000;25;18;25.805806;17.146146
6301.000000;144;99;137.930931;91.673674
5541.000000;140;94;134.742743;83.328328
5930.000000;141;99;138.146146;92.742743
6136.000000;147;105;140.292292;92.220220
6150.000000;145;98;139.109109;91.330330
5804.000000;139;101;134.883884;85.266266
5539.000000;144;98;138.391391;91.079079
4867.000000;142;101;136.782783;90.964965
5610.000000;146;104;142.693694;97.164164
4843.000000;142;99;136.794795;88.906907
4391.000000;91;66;89.625626;56.896897
6055.000000;140;103;136.670671;92.576577
5559.000000;134;89;130.881882;83.729730
5082.000000;140;94;134.204204;84.651652
6588.000000;142;101;134.302302;88.144144
5142.000000;143;86;136.714715;84.876877
5409.000000;115;73;110.262262;66.702703
6059.000000;142;101;135.842843;91.578579
5682.000000;146;94;138.983984;88.555556
6222.000000;141;101;134.604605;86.675676
5477.000000;148;107;139.853854;93.024024
6103.000000;122;91;119.826827;79.408408
6147.000000;141;93;133.583584;85.266266
6405.000000;146;103;137.738739;92.329329
5382.000000;140;99;131.797798;84.930931
4573.000000;145;97;141.505506;89.574575
5977.000000;148;111;138.020020;90.649650
6725.000000;149;119;139.267267;93.841842
5217.000000;149;102;139.624625;89.249249
5780.000000;123;89;115.685686;73.528529
6102.000000;130;91;125.090090;78.923924
5585.000000;146;93;142.193193;93.455455
6450.000000;132;89;131.601602;87.870871
6263.000000;131;98;127.730731;84.090090
6825.000000;150;116;139.042042;93.569570
6602.000000;133;93;127.412412;85.399399
5106.000000;143;99;140.358358;91.423423
5767.000000;143;105;134.489489;88.675676
5804.000000;146;102;138.395395;89.884885
4754.000000;142;89;136.195195;85.467467
4443.000000;128;87;123.872873;78.633634
5523.000000;131;89;127.983984;80.065065
4118.000000;147;103;138.118118;86.234234
5661.000000;136;95;133.227227;85.912913
5846.000000;146;101;138.401401;93.203203
5341.000000;142;102;137.276276;89.080080
4283.000000;141;90;138.538539;87.203203
5056.000000;141;90;134.529530;84.133133
5259.000000;134;101;130.301301;83.811812
5550.000000;149;108;140.901902;92.227227
5685.000000;140;91;134.953954;84.668669
5160.000000;127;92;124.171171;79.873874
907.000000;23;10;23.822823;12.869870
3623.000000;66;48;67.314314;41.616617
5841.000000;145;105;138.985986;92.257257
5203.000000;148;104;141.473473;93.720721
5759.000000;141;100;133.755756;85.920921
5946.000000;136;98;131.083083;87.451451
5187.000000;116;83;109.854855;67.173173
4933.000000;135;90;131.449449;82.620621
4916.000000;137;84;134.827828;85.717718
4945.000000;135;87;130.767768;80.836837
6093.000000;140;105;132.514515;87.204204
6407.000000;139;101;132.469469;87.912913
5296.000000;133;96;127.576577;85.775776
5685.000000;141;99;137.492492;92.120120
6417.000000;147;102;140.985986;93.010010
4884.000000;121;89;119.723724;76.250250
4460.000000;149;106;141.126126;92.865866
6354.000000;144;100;137.186186;89.885886
5823.000000;133;90;128.512513;83.204204
6070.000000;126;78;123.286286;79.982983
5447.000000;147;105;141.115115;95.005005
5273.000000;141;111;136.027027;90.963964
6368.000000;135;101;129.506507;87.931932
6639.000000;136;103;129.191191;87.301301
5556.000000;140;102;135.339339;90.063063
